"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_att_def","card_type","card_race","card_artist","card_expansion","card_text","card_flavor_text","card_all_sets"
"http://www.fowtcg.com/card/4295","Bai Hu, the Sacred Beast","http://d12h0em1d7ppg.cloudfront.net/items/42/4295/image_en/54ce4711-54e3-4b73-8cd4-f0b17eb22984.jpg","AO2-001","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","600 / 600","Resonator","Four Sacred Beasts","fzwrAym","Alice Origin 2nd Booster Pack","Automatic
When this card enters your field ⇒ You gain 200 life for each Four Sacred Beasts you control.","It's the Patron's symbol.","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4295","Bai Hu, the Sacred Beast","http://d12h0em1d7ppg.cloudfront.net/items/42/4295/image_en/54ce4711-54e3-4b73-8cd4-f0b17eb22984.jpg","AO2-001","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","600 / 600","Resonator","Four Sacred Beasts","fzwrAym","Alice Origin 2nd Booster Pack","Automatic
When this card enters your field ⇒ You gain 200 life for each Four Sacred Beasts you control.","It's the Patron's symbol.","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4366","Secret Duel in the Moonlight","http://d12h0em1d7ppg.cloudfront.net/items/43/4366/image_en/255b8d1a-5411-455b-8842-a2fbe798adac.jpg","AO2-002","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","","Chant","Sword Art/Moon Art","Pisuke","Alice Origin 2nd Booster Pack","","In a moonlit night, unnoticed by the world, there was a duel between unwavering belief and a dark invader.","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4297","Zhu Que, the Sacred Beast","http://d12h0em1d7ppg.cloudfront.net/items/42/4297/image_en/a8f619f2-8d65-4dd0-9a35-fe9d5c1ef8ba.jpg","AO2-003","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/red.png","400 / 400","Resonator","Four Sacred Beasts","MATSUMOTO EIGHT","Alice Origin 2nd Booster Pack","Automatic
When this card enters your field ⇒ It deals 200 damage to target resonator for each Four Sacred Beasts you control.","That is the symbol of destruction.","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4297","Zhu Que, the Sacred Beast","http://d12h0em1d7ppg.cloudfront.net/items/42/4297/image_en/a8f619f2-8d65-4dd0-9a35-fe9d5c1ef8ba.jpg","AO2-003","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","400 / 400","Resonator","Four Sacred Beasts","MATSUMOTO EIGHT","Alice Origin 2nd Booster Pack","Automatic
When this card enters your field ⇒ It deals 200 damage to target resonator for each Four Sacred Beasts you control.","That is the symbol of destruction.","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4367","A Present from Machina","http://d12h0em1d7ppg.cloudfront.net/items/43/4367/image_en/1aa26c6a-750c-4902-a1fe-8a027d9ceb03.jpg","AO2-004","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","","Chant","Sword Art","haniwa","Alice Origin 2nd Booster Pack","","""For you, huh, made from spare parts."" —Machina","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4299","All Consuming Suspicion","http://d12h0em1d7ppg.cloudfront.net/items/42/4299/image_en/15f72416-ba3e-4ce2-8a88-56b5f5c786cf.jpg","AO2-005","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","","Addition: Resonator","","bambi kojo","Alice Origin 2nd Booster Pack","Activate
Banish this card: Draw a card.","""Once planted, it grows wildly. That is its power."" —Overlord of the Seven Lands, Valentina","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4368","Buster Rifle","http://d12h0em1d7ppg.cloudfront.net/items/43/4368/image_en/fecfd929-ac16-4413-b035-a10517b6d18e.jpg","AO2-006","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","","Addition","Machine","KAZTO FURUYA","Alice Origin 2nd Booster Pack","Activate
[Rest], banish a Machine resonator: This card deals damage equal to the banished resonator's ATK to target J/resonator. Play this ability only if you control ""Marybell Type Zero"".","The strongest weapon of Leginus.","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4369","Caller of Gorgons","http://d12h0em1d7ppg.cloudfront.net/items/43/4369/image_en/77c473fe-6b45-42aa-8f88-9f4da4de60d0.jpg","AO2-007","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","200 / 500","Resonator","Wizard","ShiroYayoi","Alice Origin 2nd Booster Pack","Activate
Banish this card: Put target Gorgon from your graveyard into your hand.","The mage charmed by Valentina gladly sacrificed her life.","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4302","Euryale, the Dark Eye of Blindness","http://d12h0em1d7ppg.cloudfront.net/items/43/4302/image_en/22d04017-5e5b-44cf-977e-e5535f4fe299.jpg","AO2-008","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","600 / 500","Resonator","Gorgon","Fukuzo Katsura","Alice Origin 2nd Booster Pack","Activate
[U]: Target Gorgon gains [+200/0] until end of turn. Play this ability only once per turn.","Once you lock your eyes with it, regardless of its power, you'll be deprived of your freedom of movement.","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4302","Euryale, the Dark Eye of Blindness","http://d12h0em1d7ppg.cloudfront.net/items/43/4302/image_en/22d04017-5e5b-44cf-977e-e5535f4fe299.jpg","AO2-008","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/02.png","600 / 500","Resonator","Gorgon","Fukuzo Katsura","Alice Origin 2nd Booster Pack","Activate
[U]: Target Gorgon gains [+200/0] until end of turn. Play this ability only once per turn.","Once you lock your eyes with it, regardless of its power, you'll be deprived of your freedom of movement.","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4303","Foresee","http://d12h0em1d7ppg.cloudfront.net/items/43/4303/image_en/c4994373-304f-4ba5-8f28-209fba92e539.jpg","AO2-009","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","","Chant","","hatarisu","Alice Origin 2nd Booster Pack","","""I see a shadow approaching above this world: it's the sign of the impending battle. The fate of the world lies both in the hands of the warriors of the light and those of the shadow."" -The Prediction of a Fortune-Teller","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4303","Foresee","http://d12h0em1d7ppg.cloudfront.net/items/43/4303/image_en/c4994373-304f-4ba5-8f28-209fba92e539.jpg","AO2-009","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","","Chant","","hatarisu","Alice Origin 2nd Booster Pack","","""I see a shadow approaching above this world: it's the sign of the impending battle. The fate of the world lies both in the hands of the warriors of the light and those of the shadow."" -The Prediction of a Fortune-Teller","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4370","Gear Golem, the Magical Soldier (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/43/4370/image_en/418a4070-38d9-4943-899b-a14940c5035d.jpg","AO2-010","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","4000 / 4000","Resonator (Stranger)","Machine","YAZUKI YU","Alice Origin 2nd Booster Pack","Automatic
As long as you control twenty or more Machines, this card gains [Pierce] and [Barrier].","""Hmm, interesting. How does it work?"" —Machina","Alice Origin 2nd Booster Pack"
"http://www.fowtcg.com/card/4370","Gear Golem, the Magical Soldier (Stranger)","http://d12h0em1d7ppg.cloudfront.net/items/43/4370/image_en/418a4070-38d9-4943-899b-a14940c5035d.jpg","AO2-010","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/blue.png","4000 / 4000","Resonator (Stranger)","Machine","YAZUKI YU","Alice Origin 2nd Booster Pack","Automatic
As long as you control twenty or more Machines, this card gains [Pierce] and [Barrier].","""Hmm, interesting. How does it work?"" —Machina","Alice Origin 2nd Booster Pack"
